position,person,personID,start,end
President of Suriname,Jules Wijdenbosch,Q380734,1996-09-15,2000-08-12
President of Suriname,Ronald Venetiaan,Q299020,2000-08-12,2010-08-12
President of Suriname,Dési Bouterse,Q57667,2010-08-12,2020-07-16
President of Suriname,Chan Santokhi,Q333135,2020-07-16,
Vice President of Suriname,Pretaap Radhakishun,Q1444020,1996-09-15,2000-08-12
Vice President of Suriname,Jules Ajodhia,Q1949087,2000-08-12,2005-08-12
Vice President of Suriname,Ram Sardjoe,Q613821,2005-08-12,2010-08-12
Vice President of Suriname,Robert Ameerali,Q1337396,2010-08-12,2015-08-12
Vice President of Suriname,Ashwin Adhin,Q20670527,2015-08-12,
Minister of Defence,Krishna Mathoera,Q73243050,2020-07-16,
Minister of Foreign Affairs,Lygia Kraag-Keteldijk,Q58149,2000-05-25,2005-09-01
Minister of Foreign Affairs,Winston Lackin,Q3486213,2010-08-13,2015-08-13
Minister of Foreign Affairs,Niermala Badrising,Q22003256,2015-08-13,2017-02-01
Minister of Foreign Affairs,Yildiz Pollack-Beighle,Q28859452,2017-02-01,2020-07-16
Minister of Foreign Affairs,Albert Ramdin,Q1871549,2020-07-16,
